"method","event_date","catt","se"
"Gsynth",-50,1.38743391202455,0.745234873031926
"Gsynth",-1,2.19650489421224,1.2240134807911
"Gsynth",0,2.41157216279078,1.23322042558427
"Gsynth",5,5.20300776209197,1.27194525019564
"Gsynth",20,3.73584670211302,1.36450225438321
"CFM",-50,0.423483475332012,0.591509438955595
"CFM",-1,0.974337278457188,1.13209666198664
"CFM",0,1.01014625751649,1.14355120114855
"CFM",5,1.04254054199567,1.19188805819301
"CFM",20,1.47029675186794,1.33456650417595
"APM",-50,-1.48527128209359,1.47757021853715
"APM",-1,-1.8545249173166,2.1693686698393
"APM",0,-1.74740179420452,2.17188178623474
"APM",5,0.651336885450384,2.16254176317595
"APM",20,-1.63054939021254,2.22769281502473
