"design","subsample","event_date","mean_car","boot_se","lo","hi","n"
"SC baseline","Full sample",-1,-0.00126625958350856,0.000368287675650063,-0.00194643475492478,-0.000505087448681654,14847
"SC baseline","Full sample",0,-0.00206120426866958,0.000648623893493098,-0.00327447885106535,-0.000777007159038769,14847
"SC baseline","Full sample",1,-0.00304977088682916,0.00091106130613142,-0.00471294768099047,-0.00112394466924574,14847
"SC baseline","Full sample",2,-0.00507255649512994,0.0011902194158772,-0.00728684359815118,-0.00272960422633843,14847
"SC baseline","Full sample",3,-0.00628907252135663,0.00142470970993693,-0.00887184898320698,-0.00339778759885938,14847
"SC baseline","Full sample",4,-0.00783070931803253,0.0015950767623456,-0.0107517479629897,-0.00460154835838123,14847
"SC baseline","Full sample",5,-0.00981049852224305,0.00168158206974577,-0.0128680337412949,-0.00620752802897166,14847
"SC baseline","Full sample",6,-0.0108271131476134,0.00194343949219215,-0.0144195552036508,-0.00664318169642215,14847
"SC baseline","Full sample",7,-0.0118375096602138,0.00216400714967854,-0.0158990012826187,-0.00714130730161544,14847
"SC baseline","Full sample",8,-0.0131881284148513,0.00243929862292001,-0.0176665947089519,-0.00792107088969525,14847
"SC baseline","Full sample",9,-0.0146434198854265,0.00272001754840483,-0.0196718443556187,-0.00893290288169168,14847
"SC baseline","Full sample",10,-0.0158302796524547,0.00296224941962568,-0.0211881084314696,-0.00946816805179398,14847
"SC baseline","Full sample",11,-0.0175665328987857,0.00326483862290229,-0.0233370081304367,-0.010571574538867,14847
"SC baseline","Full sample",12,-0.0190078737788318,0.00346899320856784,-0.0252107899472782,-0.0114363014438627,14847
"SC baseline","Full sample",13,-0.020415550239168,0.00364972409460248,-0.0269582590500383,-0.0124867852133146,14847
"SC baseline","Full sample",14,-0.0218267963664184,0.00379585692936138,-0.0286158199298251,-0.0135625728358858,14847
"SC baseline","Full sample",15,-0.0231776246504633,0.00399124025032902,-0.0304198815574649,-0.0143983113479362,14847
"SC baseline","Full sample",16,-0.0248042260693075,0.00424302648347059,-0.0323226562886696,-0.0154920446204207,14847
