"method","subsample","event_date","mean_car","boot_se","lo","hi","n"
"Gsynth","Full sample",-1,0.000657353300912784,0.000290476398562285,0.000117951528942626,0.0012401368906161,6925
"Gsynth","Full sample",0,0.00732334440209492,0.00143456291484924,0.00514466654963751,0.0108818701457004,6925
"Gsynth","Full sample",1,0.0110641545139642,0.0015517058657577,0.00857734612356606,0.0145462566651843,6925
"Gsynth","Full sample",2,0.0113705499302081,0.00148512718510949,0.00890099706839278,0.0146653807378039,6925
"Gsynth","Full sample",3,0.0104942555086868,0.00154567018933525,0.00783531035881405,0.0139854147150004,6925
"Gsynth","Full sample",4,0.0105276408415238,0.00155454457981429,0.00789989827181304,0.0140562289908024,6925
"Gsynth","Full sample",5,0.0108631219480018,0.00161959250983688,0.00812609730210317,0.0144635669483528,6925
"Gsynth","Full sample",6,0.0105599141499116,0.00165668615822309,0.00777801043358316,0.0143631055095418,6925
"Gsynth","Full sample",7,0.0104581509231841,0.00170992205944435,0.00763603324612694,0.0142356660040684,6925
"Gsynth","Full sample",8,0.0103626166689678,0.00179585401629782,0.0072702214292837,0.0141767069696172,6925
"Gsynth","Full sample",9,0.0108370608196377,0.00167704387197628,0.00781846526728234,0.0144100709774386,6925
"Gsynth","Full sample",10,0.0104305332207535,0.00174050304155682,0.00720723078766412,0.0140016910198662,6925
"Gsynth","Full sample",11,0.0104261159727684,0.0019567974706998,0.00664063844281018,0.0143197399100206,6925
"Gsynth","Full sample",12,0.010207242505185,0.00179943581222485,0.00659507023338837,0.0137392333400573,6925
"Gsynth","Full sample",13,0.0096040236850285,0.00195163081758088,0.00566143117604494,0.013496462864674,6925
"Gsynth","Full sample",14,0.0104617142087701,0.00188492699989607,0.00663363550046387,0.0141916549529112,6925
"Gsynth","Full sample",15,0.0102479866236118,0.00204911182728387,0.00613403564707521,0.0142793245152212,6925
"Gsynth","Full sample",16,0.0094467381124435,0.00214329231326726,0.00533214181093215,0.0137035507790464,6925
"Gsynth","Full sample",17,0.00942350478828306,0.00208327879881078,0.0052166835320953,0.0132323429042044,6925
"Gsynth","Full sample",18,0.00932017105682051,0.00213841378417081,0.00516644284425192,0.013307175238795,6925
"Gsynth","Full sample",19,0.00909020171757499,0.0021644735242426,0.00494594283778048,0.0133214964638644,6925
"Gsynth","Full sample",20,0.0085387084868859,0.00224978420668056,0.00416394505123389,0.0127007001915155,6925
"Gsynth","Full sample",21,0.00889789059352005,0.00216066984881945,0.00474103754475665,0.0130515967937929,6925
"Gsynth","Full sample",22,0.00836541078140937,0.00222082015168723,0.00400867574812705,0.0126095623952036,6925
"Gsynth","Full sample",23,0.0077903415861473,0.00236916521859803,0.00295385813478184,0.0121433457254731,6925
"Gsynth","Full sample",24,0.00765558951943184,0.00257083078960061,0.00246453373191614,0.0123069724876099,6925
"Gsynth","Full sample",25,0.00783253758648067,0.00264462917988363,0.00240889801919618,0.0126318018154631,6925
"Gsynth","Full sample",26,0.00725753009953872,0.00252133953919331,0.00215067534044132,0.0118444337793549,6925
"Gsynth","Full sample",27,0.00668545786068382,0.00250018915716034,0.0014940148780262,0.0112110301458678,6925
"Gsynth","Full sample",28,0.00667827693497196,0.00249056153840799,0.00157809061545606,0.0110635728590592,6925
"Gsynth","Full sample",29,0.00690020140296053,0.0026071098904079,0.00153443748278987,0.011645365962728,6925
"Gsynth","Full sample",30,0.00681288326523213,0.00262477118974422,0.00134544717728612,0.0115624629377789,6925
"Gsynth","Full sample",31,0.00682716716926965,0.00282375879012132,0.000894943012257215,0.011817541158755,6925
"Gsynth","Full sample",32,0.00704519018365604,0.00284950424059461,0.00115161454948338,0.0120678528593186,6925
"Gsynth","Full sample",33,0.00685807623647642,0.00280981604926886,0.000977831221110532,0.0118747154285566,6925
"Gsynth","Full sample",34,0.0061601604257144,0.00287302854192069,8.10070457340507e-05,0.0113394557540791,6925
"Gsynth","Full sample",35,0.00609739266880648,0.00289081338041714,0.000207020641255381,0.0113124715977929,6925
"Gsynth","Full sample",36,0.00528143028265366,0.00295858745547458,-0.000853407636457965,0.0106830598583685,6925
"Gsynth","Full sample",37,0.00535604932133102,0.0028886377359433,-0.000497023462226497,0.0106336893866219,6925
"Gsynth","Full sample",38,0.004975652581401,0.00293461371062006,-0.000966185393811229,0.0104136904187438,6925
"Gsynth","Full sample",39,0.00500881200094875,0.00289378976380987,-0.00102153813357065,0.0103593430970437,6925
"Gsynth","Full sample",40,0.00431768207141123,0.00302904947821119,-0.00198198104638703,0.00981230284691937,6925
"Gsynth","Full sample",41,0.00427447294891343,0.00306339303208167,-0.00211887551511342,0.00997603446115341,6925
"Gsynth","Full sample",42,0.00401943578357846,0.00316689659290929,-0.00255325002890033,0.0100414019557357,6925
"Gsynth","Full sample",43,0.00395189566357562,0.00308182094276125,-0.00212510844041945,0.0097919300437837,6925
"Gsynth","Full sample",44,0.00361573138349212,0.00315599142684389,-0.00264241317293989,0.00957092521846761,6925
"Gsynth","Full sample",45,0.00310086590451658,0.0031657523538822,-0.00330097866264462,0.00907547174214562,6925
"Gsynth","Full sample",46,0.0025847362701814,0.00304745198124011,-0.00341954735682331,0.00835477423851369,6925
"Gsynth","Full sample",47,0.0028690601417061,0.00302354319826732,-0.00314367616590987,0.00873751013731404,6925
