"design","series","subsample","event_month","mean_car","boot_se","lo","hi","n"
"Monthly SC","Treated","Full sample",0,0.00791597083668111,0.00260982756985665,0.0023876629993481,0.0126470390165163,10742
"Monthly SC","Treated","Full sample",1,0.00137911677266694,0.00446996720725663,-0.00753163442519106,0.00952198266551651,10742
"Monthly SC","Treated","Full sample",2,-0.00642482250517318,0.00657613528268147,-0.0197268219274371,0.00554838462645415,10742
"Monthly SC","Treated","Full sample",3,-0.0168729821980461,0.00836333311483333,-0.0332564003639447,-0.00138816886657342,10742
"Monthly SC","Treated","Full sample",4,-0.0283017998613491,0.0102287872823072,-0.0481148874427105,-0.00972290323266676,10742
"Monthly SC","Treated","Full sample",5,-0.0399890488800719,0.0124277700294656,-0.0643758609481853,-0.0165279138156874,10742
"Monthly SC","Treated","Full sample",6,-0.0491023817754898,0.0144547220062378,-0.0782253278600312,-0.0216489761410977,10742
"Monthly SC","Treated","Full sample",7,-0.0605183737373305,0.0159907232593948,-0.0917717281574223,-0.0291188606538774,10742
"Monthly SC","Treated","Full sample",8,-0.0700049406612255,0.0179528977800455,-0.105192317020244,-0.03457285126334,10742
"Monthly SC","Treated","Full sample",9,-0.0800796675242814,0.0190434003110816,-0.11759929478707,-0.0431860448545887,10742
"Monthly SC","Treated","Full sample",10,-0.0869775793712332,0.020741726187616,-0.127281539985805,-0.0462315233633548,10742
"Monthly SC","Treated","Full sample",11,-0.0975396072422524,0.0221061183809534,-0.140453766242898,-0.0536585440425998,10742
"Monthly SC","Treated","Full sample",12,-0.10400732516377,0.0238056475269445,-0.149972683995629,-0.0568321373307034,10742
"Monthly SC","Treated","Full sample",13,-0.113445095096451,0.0257513105030215,-0.163718165978925,-0.0623316322423419,10742
"Monthly SC","Treated","Full sample",14,-0.121984604166605,0.0270532701457683,-0.174699348813697,-0.0670273739476204,10742
"Monthly SC","Treated","Full sample",15,-0.129474309546287,0.0290982249916277,-0.18593817103299,-0.0712008798786676,10742
"Monthly SC","Treated","Full sample",16,-0.137384277273442,0.0308106161494706,-0.196975281366833,-0.0754429589055301,10742
"Monthly SC","Treated","Full sample",17,-0.146158456467403,0.0325429166045326,-0.208995956292198,-0.0803282290176127,10742
"Monthly SC","Treated","Full sample",18,-0.155829648113227,0.0342732607183021,-0.224737714208099,-0.0872500618758822,10742
"Monthly SC","Treated","Full sample",19,-0.165988093793745,0.0362619462355729,-0.236386236235018,-0.0939242479395179,10742
"Monthly SC","Treated","Full sample",20,-0.175691582383774,0.0382502673927329,-0.250314446637085,-0.100194719702982,10742
"Monthly SC","Treated","Full sample",21,-0.184466502945947,0.040070596729198,-0.261146111667155,-0.104923704622277,10742
"Monthly SC","Treated","Full sample",22,-0.192292914180773,0.0418466023223608,-0.272155052577543,-0.109659052247238,10742
"Monthly SC","Treated","Full sample",23,-0.201325415471873,0.043519077760084,-0.28362203326623,-0.116894693299356,10742
"Monthly SC","Treated","Full sample",24,-0.207894346434383,0.0445555495110918,-0.292487665301535,-0.121601103512946,10742
"Monthly SC","Treated","Full sample",25,-0.216396273388307,0.0459573126772844,-0.307014532818364,-0.127511541884896,10742
"Monthly SC","Treated","Full sample",26,-0.223049755820098,0.0473240531145289,-0.317567750289143,-0.132515206627735,10742
"Monthly SC","Treated","Full sample",27,-0.23076999696066,0.0484999590581917,-0.326714699458159,-0.140087504615038,10742
"Monthly SC","Treated","Full sample",28,-0.234703587205476,0.0498253353152381,-0.333286908659844,-0.141068438193252,10742
"Monthly SC","Treated","Full sample",29,-0.240533664825994,0.050411953125256,-0.340609711525134,-0.144958126173577,10742
"Monthly SC","Treated","Full sample",30,-0.243639146905186,0.0510473657516858,-0.344008609191303,-0.14505337175441,10742
"Monthly SC","Treated","Full sample",31,-0.248140166645956,0.0510971243218598,-0.347172905023849,-0.148410692266839,10742
"Monthly SC","Treated","Full sample",32,-0.251695595457543,0.0513141084921134,-0.349221206695191,-0.149901192404798,10742
"Monthly SC","Treated","Full sample",33,-0.256008683042653,0.0514949821931402,-0.353420578349217,-0.154318387824455,10742
"Monthly SC","Treated","Full sample",34,-0.258814545308423,0.0526543613129566,-0.360590274764793,-0.154321341427243,10742
"Monthly SC","Treated","Full sample",35,-0.260431452834373,0.0523891491862033,-0.363601286021433,-0.156876490894219,10742
"Monthly SC","Treated","Full sample",36,-0.258198873140874,0.0519924744197771,-0.361155435313176,-0.154530171782859,10742
"Monthly SC","Random placebo","Full sample",0,-0.00745402537976577,0.00235270079617169,-0.0120282944286729,-0.00300623626661245,14713
"Monthly SC","Random placebo","Full sample",1,-0.0186983057824812,0.00486735300491821,-0.0284641745144552,-0.00954928808466615,14713
"Monthly SC","Random placebo","Full sample",2,-0.0283402632958491,0.00717751907514299,-0.0429391672430339,-0.0155801811670446,14713
"Monthly SC","Random placebo","Full sample",3,-0.0381058623863229,0.00929378818990001,-0.0568535708810515,-0.0211786495382578,14713
"Monthly SC","Random placebo","Full sample",4,-0.0451902067488829,0.0113197974493092,-0.0684376247758695,-0.0247049614252116,14713
"Monthly SC","Random placebo","Full sample",5,-0.0568506615093941,0.0143706321743456,-0.0877666216587033,-0.0311239089126997,14713
"Monthly SC","Random placebo","Full sample",6,-0.0670010095987785,0.0168235161200853,-0.103404598817712,-0.036208639321848,14713
"Monthly SC","Random placebo","Full sample",7,-0.0762169833981701,0.018411974373584,-0.1153154284968,-0.042088120837757,14713
"Monthly SC","Random placebo","Full sample",8,-0.0831318679186997,0.0203609081666895,-0.126200813020499,-0.0447867596369643,14713
"Monthly SC","Random placebo","Full sample",9,-0.0884218601291749,0.0221906066299624,-0.135771031845703,-0.0472362391914141,14713
"Monthly SC","Random placebo","Full sample",10,-0.0966502662318651,0.0240014485504732,-0.1459333933728,-0.0513916271835053,14713
"Monthly SC","Random placebo","Full sample",11,-0.106213481572045,0.0266049940357211,-0.161551928380485,-0.0556963949056184,14713
"Monthly SC","Random placebo","Full sample",12,-0.113398825630444,0.0279730054468716,-0.170472251218908,-0.0605514649109493,14713
"Monthly SC","Random placebo","Full sample",13,-0.123972531140464,0.0295480505863808,-0.183976221708187,-0.0675665084709439,14713
"Monthly SC","Random placebo","Full sample",14,-0.132027669491796,0.0308978947877205,-0.194396957995146,-0.0727858967277231,14713
"Monthly SC","Random placebo","Full sample",15,-0.138583392017402,0.0318603464228241,-0.202547116919692,-0.0783190383887835,14713
"Monthly SC","Random placebo","Full sample",16,-0.143161220682529,0.0331595011688032,-0.207341990258599,-0.0807034575162683,14713
"Monthly SC","Random placebo","Full sample",17,-0.14997898700675,0.0338871447262673,-0.214290151133344,-0.0850867810237811,14713
"Monthly SC","Random placebo","Full sample",18,-0.157743010254653,0.0358586484190155,-0.225822860854123,-0.0893301418158017,14713
"Monthly SC","Random placebo","Full sample",19,-0.163604700351648,0.0362080308100569,-0.232845763012202,-0.0930906445573701,14713
"Monthly SC","Random placebo","Full sample",20,-0.17054090042846,0.0380012026777674,-0.243722697242279,-0.0974041464611925,14713
"Monthly SC","Random placebo","Full sample",21,-0.177724539569415,0.0399314591570031,-0.254330470113879,-0.101254476120864,14713
"Monthly SC","Random placebo","Full sample",22,-0.183653651625982,0.0412872340847474,-0.264712678402237,-0.105362355532323,14713
"Monthly SC","Random placebo","Full sample",23,-0.18754096820133,0.0416390424606884,-0.268375260773531,-0.108471559088937,14713
"Monthly SC","Random placebo","Full sample",24,-0.192156405350227,0.0420003534794066,-0.271783660735998,-0.111333733152224,14713
"Monthly SC","Random placebo","Full sample",25,-0.198129651838216,0.0439416000634473,-0.278608359082603,-0.113943125216798,14713
"Monthly SC","Random placebo","Full sample",26,-0.202116261045497,0.0448520529245394,-0.287864177584835,-0.117523584122591,14713
"Monthly SC","Random placebo","Full sample",27,-0.206527772913904,0.0457803011978174,-0.292377053989825,-0.119165018279706,14713
"Monthly SC","Random placebo","Full sample",28,-0.211060519281104,0.0464588687246054,-0.296765736634497,-0.123104508866307,14713
"Monthly SC","Random placebo","Full sample",29,-0.214876323114309,0.0465035158714023,-0.301841004233137,-0.127167121579746,14713
"Monthly SC","Random placebo","Full sample",30,-0.219782786125674,0.0467057394050249,-0.3083731735149,-0.133159629931059,14713
"Monthly SC","Random placebo","Full sample",31,-0.221663405428954,0.0463040959551578,-0.309218684053434,-0.134224088014141,14713
"Monthly SC","Random placebo","Full sample",32,-0.224712662090305,0.046153802102829,-0.311586123797315,-0.135963784534787,14713
"Monthly SC","Random placebo","Full sample",33,-0.226387289978919,0.0453813965375672,-0.31077353136417,-0.139070302828562,14713
"Monthly SC","Random placebo","Full sample",34,-0.225920606299158,0.0451541029040422,-0.30842369762391,-0.138800249508438,14713
"Monthly SC","Random placebo","Full sample",35,-0.227148520282071,0.0454129458355836,-0.309711676132537,-0.140051734738447,14713
"Monthly SC","Random placebo","Full sample",36,-0.225377914851272,0.0450801988890237,-0.306845617193857,-0.138592445435985,14713
"Monthly SC","Runup placebo","Full sample",0,-0.0106732754777825,0.00263438311145235,-0.0159103671671565,-0.00588446412906931,10742
"Monthly SC","Runup placebo","Full sample",1,-0.0173841716038836,0.00512353503162286,-0.0276681655911145,-0.00750555747571303,10742
"Monthly SC","Runup placebo","Full sample",2,-0.0265313362408386,0.00713506531812951,-0.0405489050432096,-0.0129234169418386,10742
"Monthly SC","Runup placebo","Full sample",3,-0.0349556984191836,0.00896143530128819,-0.0524326711125874,-0.0179936371027104,10742
"Monthly SC","Runup placebo","Full sample",4,-0.0423661802718815,0.0110670809978808,-0.0637448422077918,-0.0217510506330882,10742
"Monthly SC","Runup placebo","Full sample",5,-0.0519942932479621,0.0126690222248117,-0.0773324175803485,-0.0292256373619196,10742
"Monthly SC","Runup placebo","Full sample",6,-0.0605497289198982,0.0154769604079858,-0.0917358063532534,-0.032873849511965,10742
"Monthly SC","Runup placebo","Full sample",7,-0.067547327116436,0.0172479082969488,-0.103694016644604,-0.036977758076285,10742
"Monthly SC","Runup placebo","Full sample",8,-0.0804276181386427,0.0189796556997704,-0.119084164929073,-0.0467036384840453,10742
"Monthly SC","Runup placebo","Full sample",9,-0.0836463366486937,0.0219998629346272,-0.1280390713814,-0.0421640465877552,10742
"Monthly SC","Runup placebo","Full sample",10,-0.0894030936241535,0.0234784599023451,-0.137151692466674,-0.0435478122932579,10742
"Monthly SC","Runup placebo","Full sample",11,-0.0952740748459811,0.0258533061307871,-0.147807816110891,-0.0464471252777287,10742
"Monthly SC","Runup placebo","Full sample",12,-0.102239219960051,0.0280781077084111,-0.158386255133391,-0.0486691039359069,10742
"Monthly SC","Runup placebo","Full sample",13,-0.108197700191548,0.0299089216119104,-0.167847538342648,-0.0499597738063413,10742
"Monthly SC","Runup placebo","Full sample",14,-0.114022718191145,0.0314142199997026,-0.176786641979434,-0.0523855501967665,10742
"Monthly SC","Runup placebo","Full sample",15,-0.1211728860646,0.0326817437000587,-0.183590256028113,-0.0590174599254507,10742
"Monthly SC","Runup placebo","Full sample",16,-0.126599806170153,0.0334199634732211,-0.191060945196984,-0.0611052138019469,10742
"Monthly SC","Runup placebo","Full sample",17,-0.133314806917714,0.0337384788961119,-0.19739209724039,-0.0688110989783504,10742
"Monthly SC","Runup placebo","Full sample",18,-0.138870865400017,0.0349661592669913,-0.205488892507003,-0.0701505602842725,10742
"Monthly SC","Runup placebo","Full sample",19,-0.143521627708528,0.0359777215833418,-0.212823619290251,-0.0746075372233217,10742
"Monthly SC","Runup placebo","Full sample",20,-0.150752291047702,0.0363423318747919,-0.220312532552239,-0.0807062988360179,10742
"Monthly SC","Runup placebo","Full sample",21,-0.157069051198674,0.0379443307841596,-0.23103388432515,-0.0848438494585824,10742
"Monthly SC","Runup placebo","Full sample",22,-0.162156412397523,0.038885778445775,-0.237672538709361,-0.0877599053315446,10742
"Monthly SC","Runup placebo","Full sample",23,-0.170339254039579,0.0391510326115682,-0.24622353544333,-0.0948749155494168,10742
"Monthly SC","Runup placebo","Full sample",24,-0.172090807418671,0.0393983785767678,-0.249343928121486,-0.09524776779398,10742
"Monthly SC","Runup placebo","Full sample",25,-0.175243552428387,0.0401730114262272,-0.253670332123243,-0.0969424970897336,10742
"Monthly SC","Runup placebo","Full sample",26,-0.180847644048705,0.0406398813167346,-0.260214579963238,-0.102134392187662,10742
"Monthly SC","Runup placebo","Full sample",27,-0.187176194552683,0.0410539509063241,-0.267681217767142,-0.106948236718915,10742
