"method","subsample","event_date","calibrated","boot_se","lo","hi","n"
"SC","Full sample",-1,0.00165494877487072,0.000423794650380948,0.00079733429924173,0.00242385332241776,14847
"SC","Full sample",0,0.00782144172809716,0.00105180197293307,0.00580826526675335,0.00989251636010377,14847
"SC","Full sample",1,0.0113003304717586,0.00146158879113238,0.00848491711360056,0.0141312606543006,14847
"SC","Full sample",2,0.0126315158898353,0.0016422727665703,0.00951366278835562,0.015772825848922,14847
"SC","Full sample",3,0.0119173815170109,0.00189819482644437,0.00821242419241536,0.015534946513673,14847
"SC","Full sample",4,0.0124744684825406,0.0019883662840697,0.00865696727432303,0.0161536981449609,14847
"SC","Full sample",5,0.0134727451734293,0.0018567512321166,0.00984605403959736,0.0168430466851348,14847
"SC","Full sample",6,0.0131565281374319,0.00183815671250405,0.00945601458101261,0.0164694052355176,14847
"SC","Full sample",7,0.012723363317868,0.0019592224480926,0.00884212535816839,0.0163439829579346,14847
"SC","Full sample",8,0.0128731125550388,0.00183667356706296,0.00916051677556995,0.0163503166090277,14847
"SC","Full sample",9,0.0136470593221276,0.00189350126574354,0.00957356432199349,0.017069653442607,14847
"SC","Full sample",10,0.0135190720272239,0.00185887598077856,0.00962378564764326,0.0168105327982227,14847
"SC","Full sample",11,0.014533486397272,0.00191006110437003,0.0107484198403838,0.0180095240849472,14847
"SC","Full sample",12,0.0147237670920732,0.0018495415474138,0.0108069843213256,0.0179803218469853,14847
"SC","Full sample",13,0.0149793664301212,0.0018299786613847,0.0111113929661458,0.0182873055609801,14847
"SC","Full sample",14,0.0156188792897989,0.00181702678010637,0.0118794718620379,0.0188528754030492,14847
"SC","Full sample",15,0.0158108577336557,0.0018857904868652,0.011865932208315,0.0192672964979328,14847
"SC","Full sample",16,0.0157271130291092,0.00194211849057449,0.0117221778486831,0.0191999678933434,14847
"SC","Full sample",17,0.0161725378613215,0.00184523282888342,0.0122713451416534,0.0193740622269272,14847
"SC","Full sample",18,0.0167848381256738,0.00195767755925507,0.0123660036617363,0.0201832031625295,14847
"SC","Full sample",19,0.0167884481898785,0.00192252433160322,0.0126908927133466,0.0202233295536889,14847
"SC","Full sample",20,0.0163459308522399,0.00189504642190925,0.0121728326155366,0.01974834703436,14847
"SC","Full sample",21,0.0163157522706441,0.0018880069562542,0.0123447552024361,0.0196082346385215,14847
"SC","Full sample",22,0.0163627749135505,0.00189480752328521,0.0124634832115142,0.019790219434998,14847
"SC","Full sample",23,0.0161666954823715,0.00184609902920727,0.0122996289051152,0.0194757690144006,14847
"SC","Full sample",24,0.0162862406526491,0.00176706033099353,0.0125586251973172,0.0195520361582983,14847
"SC","Full sample",25,0.0161692804840963,0.00197039559694006,0.0121483712034128,0.0198428849183394,14847
"SC","Full sample",26,0.0159973243058198,0.00199079735670887,0.0116916398393573,0.0195145690626489,14847
"SC","Full sample",27,0.0161496099182518,0.00208451650081044,0.01172537370125,0.0201233311055751,14847
"SC","Full sample",28,0.016024925342786,0.00201591495198683,0.0119115598341147,0.0197839699341019,14847
"SC","Full sample",29,0.0161201233360457,0.00200117221512718,0.0118052091190581,0.0197929053821327,14847
"SC","Full sample",30,0.0174483626055487,0.00200390638542304,0.0132194837100682,0.0210218463093873,14847
"SC","Full sample",31,0.0164451751213464,0.00216674443640496,0.0122611911435007,0.020604986491848,14847
"SC","Full sample",32,0.0164137399587283,0.00220745148903111,0.0119373307469288,0.0206399811307507,14847
"SC","Full sample",33,0.0162260404005236,0.00217429816004385,0.0117304857445145,0.0203614490872706,14847
"SC","Full sample",34,0.0156984742730729,0.00223380605429699,0.0110751974442311,0.0199993290096898,14847
"SC","Full sample",35,0.0160170977797994,0.00230418651347308,0.0113940596304254,0.0204012785542207,14847
"SC","Full sample",36,0.016421261487849,0.00238590498487002,0.01165861740528,0.0210008679032455,14847
"SC","Full sample",37,0.015844407214786,0.00255869447826141,0.0104905757117593,0.0205985703112347,14847
"SC","Full sample",38,0.01562546920108,0.00258855287119591,0.0102310816232127,0.0204044857694563,14847
"SC","Full sample",39,0.0164393685374839,0.00260200431164993,0.0110334354691647,0.021239804892458,14847
"SC","Full sample",40,0.0160240780219846,0.00267854965257181,0.0105126858278809,0.0208904532807674,14847
"SC","Full sample",41,0.0157572872243919,0.00268379977805624,0.0103232084385795,0.0207304530815826,14847
"SC","Full sample",42,0.0157391313719052,0.00277611611268516,0.0102806990757585,0.0209168121977731,14847
"SC","Full sample",43,0.0158935009725329,0.00296560052496132,0.00997020519509704,0.0214222596004666,14847
"SC","Full sample",44,0.0163054659768629,0.00302331488475827,0.0104070773788903,0.0220251282635015,14847
"SC","Full sample",45,0.0164874299021947,0.00289004648451244,0.0108672363407777,0.0219016028174063,14847
"SC","Full sample",46,0.0165043960357966,0.00306467172826801,0.0103920574528792,0.0222726087576079,14847
"SC","Full sample",47,0.016718363955831,0.0029817623558661,0.0108441761140935,0.0223895877694869,14847
"SC","Full sample",48,0.017266700546887,0.00305765004753414,0.0113549931955494,0.0231324262588039,14847
"SC","Full sample",49,0.0175601597824476,0.00321988553622689,0.0113304988734926,0.0236073150287042,14847
"SC","Full sample",50,0.0173064282515903,0.00321238377345873,0.0110665052982725,0.0234265554819025,14847
