"role","subsample","event_date","mean_car","boot_se","lo","hi","n","metric"
"Treated","Full sample",-1,0.000388689191362163,0.000248103565587392,-9.74657238389451e-05,0.000902006253847677,14847,"arith"
"Treated","Full sample",0,0.00576023745942759,0.000837108664134375,0.00423503253537441,0.00743443853599282,14847,"arith"
"Treated","Full sample",1,0.00825055958492946,0.00123223146729759,0.00587457006172428,0.0107693066858239,14847,"arith"
"Treated","Full sample",2,0.0075589593947054,0.00138078309994839,0.00494784040134407,0.0103609845240992,14847,"arith"
"Treated","Full sample",3,0.00562830899565429,0.00160823894577671,0.00252074802838906,0.00873634263032718,14847,"arith"
"Treated","Full sample",4,0.0046437591645081,0.00171856144330663,0.00120541649270303,0.00803673447836732,14847,"arith"
"Treated","Full sample",5,0.00366224665118626,0.00187807197789461,4.42753228058036e-05,0.00747767757399035,14847,"arith"
"Treated","Full sample",6,0.00232941498981848,0.00201221629058577,-0.00165287540745723,0.0063879024073676,14847,"arith"
"Treated","Full sample",7,0.000885853657654111,0.00218415045840317,-0.00342199733116541,0.00525321061177622,14847,"arith"
"Treated","Full sample",8,-0.000315015859812546,0.00237367306947553,-0.00488964831327961,0.00468635705512029,14847,"arith"
"Treated","Full sample",9,-0.000996360563298857,0.00263517776157393,-0.00618168972965925,0.00442558766682641,14847,"arith"
"Treated","Full sample",10,-0.00231120762523081,0.00277205864566213,-0.00746464210241852,0.00335149947502068,14847,"arith"
"Treated","Full sample",11,-0.00303304650151375,0.00289736793822115,-0.00845025920652539,0.00299428876010999,14847,"arith"
"Treated","Full sample",12,-0.00428410668675868,0.00311460673742717,-0.0101256917196918,0.00225113973275106,14847,"arith"
"Treated","Full sample",13,-0.00543618380904681,0.00322715065270693,-0.0113550763924397,0.00128704644797832,14847,"arith"
"Treated","Full sample",14,-0.00620791707661957,0.00346289619008062,-0.0125058432789761,0.00121041191674956,14847,"arith"
"Treated","Full sample",15,-0.0073667669168076,0.00369237302311269,-0.0139911284868545,0.00056253594952488,14847,"arith"
"Treated","Full sample",16,-0.00907711304019835,0.00387331472185365,-0.0161246820933278,-0.00080311174778769,14847,"arith"
"Treated","Full sample",17,-0.0103872107880462,0.00406955137698507,-0.0176092980884537,-0.0016251341440966,14847,"arith"
"Treated","Full sample",18,-0.011392412458277,0.00425548657837606,-0.0190856607290621,-0.00218387915645825,14847,"arith"
"Treated","Full sample",19,-0.0124157663123063,0.00442677258088934,-0.0203690121279256,-0.00285835928145556,14847,"arith"
"Treated","Full sample",20,-0.0139193026717384,0.00469556327553922,-0.0224195979411561,-0.00383520831343317,14847,"arith"
"Treated","Full sample",21,-0.0150861292264687,0.00492889462757792,-0.0240321955289476,-0.00460752079739536,14847,"arith"
"Treated","Full sample",22,-0.0166819013402949,0.00514267195808566,-0.025995289233201,-0.00585943092864146,14847,"arith"
"Treated","Full sample",23,-0.0179609371000837,0.00528103170127581,-0.0276923783112956,-0.00683191011155579,14847,"arith"
"Treated","Full sample",24,-0.0193492381184854,0.00564340874215931,-0.0295464929332621,-0.00741145106705823,14847,"arith"
"Treated","Full sample",25,-0.0206605739675035,0.00591868830021032,-0.031655625201814,-0.00814555622458863,14847,"arith"
"Treated","Full sample",26,-0.0221128896980041,0.00608794967450637,-0.0334398312050533,-0.0092053301309185,14847,"arith"
"Treated","Full sample",27,-0.0238407424489001,0.00628910562110397,-0.0354938412910505,-0.01066818839056,14847,"arith"
"Treated","Full sample",28,-0.0249081840525195,0.00656815659064278,-0.0370684503921341,-0.0109872916376016,14847,"arith"
"Treated","Full sample",29,-0.026049623778201,0.00683121651516519,-0.0387572991519777,-0.0114296315913897,14847,"arith"
"Treated","Full sample",30,-0.0270699871721867,0.00687829345394381,-0.0397370193253421,-0.0121717416330132,14847,"arith"
"Treated","Full sample",31,-0.0282355492701433,0.00710272544497519,-0.0412070361724269,-0.0128204502660573,14847,"arith"
"Treated","Full sample",32,-0.0295583657412292,0.00729324620354097,-0.0427152906229514,-0.0136522351350763,14847,"arith"
"Treated","Full sample",33,-0.0310118355408548,0.00754848874774983,-0.044739987544908,-0.0142877105062161,14847,"arith"
"Treated","Full sample",34,-0.0321803409017835,0.00771778738597174,-0.0463151609537883,-0.0150539180611241,14847,"arith"
"Treated","Full sample",35,-0.0333242273695622,0.00800119521409884,-0.0480574949813327,-0.0156474203010251,14847,"arith"
"Treated","Full sample",36,-0.0345633159340485,0.00811693542642407,-0.0493414602216323,-0.0164978376116638,14847,"arith"
"Treated","Full sample",37,-0.0361635876466059,0.00848041349467317,-0.0516101592572764,-0.0173938538880428,14847,"arith"
"Treated","Full sample",38,-0.0378545013001736,0.00876471809364013,-0.0537290833868942,-0.0187041959221857,14847,"arith"
"Treated","Full sample",39,-0.0387100390420653,0.00901011281057028,-0.0551810056002419,-0.0189178316511572,14847,"arith"
"Treated","Full sample",40,-0.0402130329188658,0.00920826182882764,-0.056947849240285,-0.0198692603899873,14847,"arith"
"Treated","Full sample",41,-0.0419372180063921,0.00951592900570135,-0.0595504155447461,-0.0211658809296615,14847,"arith"
"Treated","Full sample",42,-0.0431546961993462,0.00968118577770508,-0.0611501287255948,-0.0221149201141109,14847,"arith"
"Treated","Full sample",43,-0.0445861865090842,0.00999419562510656,-0.0630337431833352,-0.0229623652670012,14847,"arith"
"Treated","Full sample",44,-0.0459031671200909,0.0102023323461034,-0.0649472546952942,-0.0237802784928345,14847,"arith"
"Treated","Full sample",45,-0.0472886928496031,0.0103920467218295,-0.066656406910739,-0.0247788252043657,14847,"arith"
"Treated","Full sample",46,-0.0486761134182122,0.0104989776070974,-0.0682465311656545,-0.0260454457163781,14847,"arith"
"Treated","Full sample",47,-0.0499322032997166,0.0107352754982035,-0.0700088074243474,-0.0266920379315119,14847,"arith"
"Treated","Full sample",48,-0.0510813372733023,0.0109921849538878,-0.07166229096946,-0.0272538926949857,14847,"arith"
"Treated","Full sample",49,-0.0514160871674394,0.0110022647728988,-0.0718210047524757,-0.0275247421590233,14847,"arith"
"Treated","Full sample",50,-0.0527762422776614,0.0112292288227921,-0.073685328225223,-0.0284423191710177,14847,"arith"
"Treated","Full sample",51,-0.0543089918073818,0.0115313184341919,-0.0759707198491041,-0.0294004870232265,14847,"arith"
"Treated","Full sample",52,-0.0557783505809223,0.011764177221878,-0.0777470103864168,-0.0303794365782936,14847,"arith"
"Treated","Full sample",53,-0.0574993393529534,0.0120359181875608,-0.0794635599432011,-0.0311238996202383,14847,"arith"
"Treated","Full sample",54,-0.0584607407886928,0.0122395100526475,-0.081078050853718,-0.0317958586954807,14847,"arith"
"Treated","Full sample",55,-0.0597870293670656,0.0124399868538229,-0.0827339840136697,-0.0323891007162313,14847,"arith"
"Treated","Full sample",56,-0.0609511226372524,0.0127208352463069,-0.0843228956739942,-0.0333568677260634,14847,"arith"
"Treated","Full sample",57,-0.0619776914939843,0.0128316767919438,-0.0853656053138506,-0.034399397527816,14847,"arith"
"Treated","Full sample",58,-0.0637376445353581,0.0130129466067311,-0.0876444281547405,-0.0357461462028411,14847,"arith"
"Treated","Full sample",59,-0.0653589721599392,0.0132488729371641,-0.0898947547919816,-0.0369716348728159,14847,"arith"
"Treated","Full sample",60,-0.0666977714438486,0.0134710752923286,-0.0915410552399326,-0.0376654225870039,14847,"arith"
"Treated","Full sample",61,-0.0679026582698153,0.0136582570431179,-0.0929514134965149,-0.0383446776132208,14847,"arith"
"Treated","Full sample",62,-0.068831810662929,0.0137521610943294,-0.0936162678028181,-0.0385442296816874,14847,"arith"
"Treated","Full sample",63,-0.0702121819360663,0.0139986754496142,-0.0954904915040292,-0.0400301132220215,14847,"arith"
"Treated","Full sample",64,-0.0717114720814743,0.0141361522583555,-0.097444154922033,-0.0411004985143811,14847,"arith"
"Treated","Full sample",65,-0.0730265623787541,0.0143414879920681,-0.0989967272391501,-0.0420904268441549,14847,"arith"
"Treated","Full sample",66,-0.0745903998955214,0.0145394982721906,-0.10115722868712,-0.0427776051411359,14847,"arith"
"Treated","Full sample",67,-0.075668705811343,0.0145981387823848,-0.102446570136126,-0.0435652178505073,14847,"arith"
"Treated","Full sample",68,-0.0769261320870174,0.0148257556872524,-0.104182113555173,-0.0443266788845655,14847,"arith"
"Treated","Full sample",69,-0.0780582456178939,0.0150120077948982,-0.105364786536294,-0.0452392439451885,14847,"arith"
"Treated","Full sample",70,-0.0800721842083194,0.015232940593732,-0.107980719945837,-0.046602735188761,14847,"arith"
"Treated","Full sample",71,-0.0814217849445309,0.0154786669753341,-0.109625999521166,-0.0472780034933905,14847,"arith"
"Treated","Full sample",72,-0.0835990880185366,0.0157123941831082,-0.11218292022719,-0.0495234151086222,14847,"arith"
"Treated","Full sample",73,-0.0851737822049213,0.0158796026355803,-0.11413097681783,-0.0509401744592334,14847,"arith"
"Treated","Full sample",74,-0.0865637454084498,0.0160777125017371,-0.115969881488373,-0.0522610430557244,14847,"arith"
"Treated","Full sample",75,-0.0876501404773024,0.0162316686626332,-0.117205885308956,-0.0530398977238397,14847,"arith"
"Treated","Full sample",76,-0.0890306259886883,0.0163930244299914,-0.118893206712667,-0.0542274395215877,14847,"arith"
"Treated","Full sample",77,-0.0906113705189106,0.016671912264976,-0.121047291009013,-0.0549521128610609,14847,"arith"
"Treated","Full sample",78,-0.0916653669535853,0.0167356613457296,-0.122097062665076,-0.0556195868947152,14847,"arith"
"Treated","Full sample",79,-0.0930384264963914,0.0169959242057076,-0.123890866255069,-0.056702545499429,14847,"arith"
"Treated","Full sample",80,-0.0940023781366409,0.0171134926878443,-0.124975705119592,-0.0578776854336809,14847,"arith"
"Treated","Full sample",81,-0.0952634927866389,0.0172182993545025,-0.126502019560977,-0.0582644638898581,14847,"arith"
"Treated","Full sample",82,-0.0959090205772475,0.0174694531447818,-0.127757983704967,-0.057962563901553,14847,"arith"
"Treated","Full sample",83,-0.0972659539456347,0.0176694571935544,-0.129445140862884,-0.0584763208050991,14847,"arith"
"Treated","Full sample",84,-0.0986088092371266,0.0179581250749917,-0.131565122269345,-0.0592858502060213,14847,"arith"
"Treated","Full sample",85,-0.100097066027684,0.0181710907278478,-0.133469717935486,-0.0599769866470564,14847,"arith"
"Treated","Full sample",86,-0.101504692208627,0.0183773651327038,-0.135044660922651,-0.061288502826084,14847,"arith"
"Treated","Full sample",87,-0.103232739991261,0.0187505718768199,-0.13755190727132,-0.0619098649263111,14847,"arith"
"Treated","Full sample",88,-0.104712102537597,0.0188897424257934,-0.13908325420889,-0.0627069053269471,14847,"arith"
"Treated","Full sample",89,-0.105579224009985,0.0191323702099158,-0.140222531158132,-0.0631394463859326,14847,"arith"
"Treated","Full sample",90,-0.107252736173181,0.0194055931498213,-0.142429046295699,-0.0643381354736258,14847,"arith"
"Treated","Full sample",91,-0.10865774619085,0.019648218439844,-0.144393515318351,-0.0653295720059555,14847,"arith"
"Treated","Full sample",92,-0.109564636910033,0.0197500971939369,-0.145362395717451,-0.065729625816642,14847,"arith"
"Treated","Full sample",93,-0.110608027488678,0.0199392839562381,-0.1470971638834,-0.0667188157661975,14847,"arith"
"Treated","Full sample",94,-0.112008850481703,0.0202047164240555,-0.148963178338846,-0.0675625136889816,14847,"arith"
"Treated","Full sample",95,-0.113353362266474,0.020345428559817,-0.150642269130389,-0.069063538334803,14847,"arith"
