"table","panel","row","col","estimate"
1,"Panel A: Random Assignment + Random Timing","Simple Means","All Periods: E(Bias)",0.000803399137006889
1,"Panel A: Random Assignment + Random Timing","Simple Means","All Periods: MAD",0.0390816856416551
1,"Panel A: Random Assignment + Random Timing","Simple Means","All Periods: RMSE",0.577585581775851
1,"Panel A: Random Assignment + Random Timing","Simple Means","Treated Periods: E(Bias)",0.00876868789601444
1,"Panel A: Random Assignment + Random Timing","Simple Means","Treated Periods: MAD",0.172400598415643
1,"Panel A: Random Assignment + Random Timing","Simple Means","Treated Periods: Coverage",1
1,"Panel A: Random Assignment + Random Timing","Simple Means","Untreated Periods: E(Bias)",6.87026110613529e-06
1,"Panel A: Random Assignment + Random Timing","Simple Means","Untreated Periods: MAD",0.0379917483351862
1,"Panel A: Random Assignment + Random Timing","Simple Means","Untreated Periods: Coverage",0.03
1,"Panel A: Random Assignment + Random Timing","CAPM","All Periods: E(Bias)",-0.0634783188878546
1,"Panel A: Random Assignment + Random Timing","CAPM","All Periods: MAD",0.164634818959524
1,"Panel A: Random Assignment + Random Timing","CAPM","All Periods: RMSE",2.11347868328616
1,"Panel A: Random Assignment + Random Timing","CAPM","Treated Periods: E(Bias)",-0.070197088382453
1,"Panel A: Random Assignment + Random Timing","CAPM","Treated Periods: MAD",0.426795113365502
1,"Panel A: Random Assignment + Random Timing","CAPM","Treated Periods: Coverage",1
1,"Panel A: Random Assignment + Random Timing","CAPM","Untreated Periods: E(Bias)",-0.0628064419383947
1,"Panel A: Random Assignment + Random Timing","CAPM","Untreated Periods: MAD",0.170576144663812
1,"Panel A: Random Assignment + Random Timing","CAPM","Untreated Periods: Coverage",0.438
1,"Panel A: Random Assignment + Random Timing","Correct Factor Structure","All Periods: E(Bias)",-0.0101778109973402
1,"Panel A: Random Assignment + Random Timing","Correct Factor Structure","All Periods: MAD",0.0370326867207757
1,"Panel A: Random Assignment + Random Timing","Correct Factor Structure","All Periods: RMSE",0.537770522496917
1,"Panel A: Random Assignment + Random Timing","Correct Factor Structure","Treated Periods: E(Bias)",-0.000139911387145383
1,"Panel A: Random Assignment + Random Timing","Correct Factor Structure","Treated Periods: MAD",0.155291773644883
1,"Panel A: Random Assignment + Random Timing","Correct Factor Structure","Treated Periods: Coverage",1
1,"Panel A: Random Assignment + Random Timing","Correct Factor Structure","Untreated Periods: E(Bias)",-0.0111816009583597
1,"Panel A: Random Assignment + Random Timing","Correct Factor Structure","Untreated Periods: MAD",0.0388479459838811
1,"Panel A: Random Assignment + Random Timing","Correct Factor Structure","Untreated Periods: Coverage",0.04
1,"Panel A: Random Assignment + Random Timing","Gsynth (PCA)","All Periods: E(Bias)",0.000408988713732706
1,"Panel A: Random Assignment + Random Timing","Gsynth (PCA)","All Periods: MAD",0.0429817868985657
1,"Panel A: Random Assignment + Random Timing","Gsynth (PCA)","All Periods: RMSE",0.560953068133043
1,"Panel A: Random Assignment + Random Timing","Gsynth (PCA)","Treated Periods: E(Bias)",0.0164300332507347
