"panel","row","col","estimate_pub","se_pub","estimate_rep","se_rep","diff","pt_ok","se_ok"
"A: Bank Controls","New York connections","Average",0.019,0.005,0.0193687855044173,0.00477212896928848,0.000368785504417341,TRUE,TRUE
"A: Bank Controls","New York connections","CAPM",0.011,0.004,0.0107545167813769,0.00378628919240003,-0.00024548321862311,TRUE,TRUE
"A: Bank Controls","New York connections","DID",0.02,0.004,0.0202919927448429,0.00389356311406814,0.000291992744842939,TRUE,TRUE
"A: Bank Controls","New York connections","FF3F",0.009,0.004,0.00932326538918823,0.00383582445740067,0.000323265389188228,TRUE,TRUE
"A: Bank Controls","New York connections","Gsynth",0.009,0.004,0.00900222250763299,0.00390840613049311,2.2225076329891e-06,TRUE,TRUE
"A: Bank Controls","New York connections","Market",0.017,0.004,0.0166799183656421,0.00402110499275394,-0.000320081634357861,TRUE,TRUE
"A: Bank Controls","New York connections","SC",0.009,0.003,0.00940243988447857,0.00334378950691882,0.000402439884478566,TRUE,TRUE
"A: Bank Controls","New York connections","SDID",0.012,0.003,0.0120931297994998,0.00342994879902446,9.31297994998231e-05,TRUE,TRUE
"A: Bank Controls","Personal connections","Average",0.029,0.01,0.0289435743984801,0.00954261248450417,-5.64256015198883e-05,TRUE,TRUE
"A: Bank Controls","Personal connections","CAPM",0.016,0.011,0.0151482419645967,0.0114802746772554,-0.000851758035403346,TRUE,TRUE
"A: Bank Controls","Personal connections","DID",0.03,0.006,0.0302358572105435,0.00844467980702481,0.000235857210543519,TRUE,FALSE
"A: Bank Controls","Personal connections","FF3F",0.013,0.011,0.0127216428639779,0.0110804193809232,-0.000278357136022136,TRUE,TRUE
"A: Bank Controls","Personal connections","Gsynth",0.008,0.007,0.00765289709007368,0.00750367031541006,-0.000347102909926325,TRUE,TRUE
"A: Bank Controls","Personal connections","Market",0.027,0.012,0.0271272241029738,0.011809232708068,0.000127224102973791,TRUE,TRUE
"A: Bank Controls","Personal connections","SC",0.004,0.003,0.00431868369216907,0.00764127357174716,0.000318683692169071,TRUE,FALSE
"A: Bank Controls","Personal connections","SDID",0.009,0.005,0.00904025828638655,0.0076061727238474,4.0258286386546e-05,TRUE,FALSE
"A: Bank Controls","Schedule connections","Average",0.026,0.007,0.0263754527179596,0.00743129486110692,0.000375452717959579,TRUE,TRUE
"A: Bank Controls","Schedule connections","CAPM",0.016,0.007,0.0153840920265156,0.00653055185655114,-0.000615907973484382,TRUE,TRUE
"A: Bank Controls","Schedule connections","DID",0.027,0.005,0.0269999582253746,0.00654732790555243,-4.17746253908446e-08,TRUE,FALSE
"A: Bank Controls","Schedule connections","FF3F",0.014,0.006,0.0139457369318817,0.00631989080712955,-5.42630681183189e-05,TRUE,TRUE
"A: Bank Controls","Schedule connections","Gsynth",0.012,0.006,0.0124897937313492,0.00580673596120108,0.000489793731349195,TRUE,TRUE
"A: Bank Controls","Schedule connections","Market",0.024,0.007,0.0243111398147779,0.00687948974104806,0.000311139814777889,TRUE,TRUE
"A: Bank Controls","Schedule connections","SC",0.016,0.005,0.0160761683149195,0.00615390142230037,7.61683149195329e-05,TRUE,TRUE
"A: Bank Controls","Schedule connections","SDID",0.018,0.005,0.0176892241375499,0.00605935846152015,-0.000310775862450131,TRUE,TRUE
"B: All Firm Controls","New York connections","Average",0.011,0.005,0.011184301821537,0.0049593849011832,0.000184301821537039,TRUE,TRUE
"B: All Firm Controls","New York connections","CAPM",0.011,0.004,0.0107545167813769,0.00378628919240003,-0.00024548321862311,TRUE,TRUE
"B: All Firm Controls","New York connections","DID",0.011,0.004,0.0114621871216959,0.00340413704239781,0.000462187121695941,TRUE,TRUE
