"panel","row","col","estimate","se","r"
"A: Bank Controls","Schedule connections","CFM",0.0201217456860182,0.00831141766274363,1
"A: Bank Controls","Schedule connections","APM",0.00784308453201272,0.0125063326652448,1
"A: Bank Controls","Personal connections","CFM",0.0165291153236589,0.0108375111479939,1
"A: Bank Controls","Personal connections","APM",0.00226647664312679,0.0202448083375769,1
"A: Bank Controls","New York connections","CFM",0.0144778493822435,0.00357575086167053,1
"A: Bank Controls","New York connections","APM",0.0111050047305489,0.00299901060715227,1
"B: All Firm Controls","Schedule connections","CFM",0.00578879901328735,0.0057706744321036,1
"B: All Firm Controls","Schedule connections","APM",-0.0128144729925178,0.0172339599446895,1
"B: All Firm Controls","Personal connections","CFM",0.00160584162441336,0.00989223021337715,1
"B: All Firm Controls","Personal connections","APM",-0.0230456135854943,0.0243319902397497,1
"B: All Firm Controls","New York connections","CFM",0.000151128784121719,0.00339568971642997,1
"B: All Firm Controls","New York connections","APM",-0.00309239391520412,0.00377245813018778,1
