"row","col","estimate_pub","estimate_rep","diff","ok"
"CAPM Beta","All CRSP Controls SC",1.383,1.38346021355658,0.000460213556584099,TRUE
"CAPM Beta","All CRSP Controls SDID",1.281,1.28174525796216,0.000745257962161183,TRUE
"CAPM Beta","Bank Controls SC",1.331,1.33124092307703,0.000240923077028388,TRUE
"CAPM Beta","Bank Controls SDID",1.111,1.1110913580774,9.13580773991285e-05,TRUE
"CAPM Beta","Control",0.825,0.825092386949658,9.23869496581853e-05,TRUE
"CAPM Beta","Control (All CRSP)",0.832,0.832826715794265,0.000826715794264632,TRUE
"CAPM Beta","Treated",1.427,1.42690718472004,-9.28152799606341e-05,TRUE
"FF3F Market Beta","All CRSP Controls SC",1.22,1.22020595203617,0.000205952036167467,TRUE
"FF3F Market Beta","All CRSP Controls SDID",1.165,1.16541662900187,0.00041662900186612,TRUE
"FF3F Market Beta","Bank Controls SC",1.148,1.14811003246782,0.000110032467816268,TRUE
"FF3F Market Beta","Bank Controls SDID",0.905,0.904837463736865,-0.000162536263134561,TRUE
"FF3F Market Beta","Control",0.659,0.658917688281179,-8.23117188211153e-05,TRUE
"FF3F Market Beta","Control (All CRSP)",0.857,0.857177690191486,0.000177690191485613,TRUE
"FF3F Market Beta","Treated",1.275,1.27461397747199,-0.000386022528012564,TRUE
"FF3F Size Beta","All CRSP Controls SC",0.377,0.373995740103284,-0.00300425989671649,TRUE
"FF3F Size Beta","All CRSP Controls SDID",0.627,0.627913956408232,0.000913956408232219,TRUE
"FF3F Size Beta","Bank Controls SC",0.48,0.478356134509067,-0.00164386549093337,TRUE
"FF3F Size Beta","Bank Controls SDID",0.819,0.818999255035227,-7.44964773313761e-07,TRUE
"FF3F Size Beta","Control",0.748,0.748703327598621,0.000703327598620684,TRUE
"FF3F Size Beta","Control (All CRSP)",0.553,0.552986042715368,-1.39572846321601e-05,TRUE
"FF3F Size Beta","Treated",0.233,0.233298840994636,0.000298840994636257,TRUE
"FF3F Value Beta","All CRSP Controls SC",0.674,0.674285947686841,0.000285947686840871,TRUE
"FF3F Value Beta","All CRSP Controls SDID",0.593,0.593830927197341,0.000830927197341236,TRUE
"FF3F Value Beta","Bank Controls SC",0.75,0.748525437846117,-0.00147456215388309,TRUE
"FF3F Value Beta","Bank Controls SDID",0.872,0.872743436582549,0.000743436582548718,TRUE
"FF3F Value Beta","Control",0.72,0.719919990774086,-8.00092259140017e-05,TRUE
"FF3F Value Beta","Control (All CRSP)",0.144,0.143753229943116,-0.000246770056884421,TRUE
"FF3F Value Beta","Treated",0.607,0.607076849540075,7.68495400746971e-05,TRUE
