"panel","row","col","estimate_pub","estimate_rep","diff","ok"
"Panel A: 1980-1989","CAPM Beta","Treated Mean",0.961,0.960677633637008,-0.000322366362991988,TRUE
"Panel A: 1980-1989","CAPM Beta","Treated Std",0.523,0.522587802244176,-0.000412197755824351,TRUE
"Panel A: 1980-1989","CAPM Beta","Random Control Mean",0.582,0.581973945372518,-2.60546274817308e-05,TRUE
"Panel A: 1980-1989","CAPM Beta","Random Control Std",0.551,0.550737731650679,-0.000262268349321082,TRUE
"Panel A: 1980-1989","FF3F Mkt Beta","Treated Mean",1.108,1.10833539282766,0.000335392827663039,TRUE
"Panel A: 1980-1989","FF3F Mkt Beta","Treated Std",0.539,0.538683229343811,-0.000316770656188625,TRUE
"Panel A: 1980-1989","FF3F Mkt Beta","Random Control Mean",0.854,0.8538279778488,-0.000172022151200046,TRUE
"Panel A: 1980-1989","FF3F Mkt Beta","Random Control Std",0.784,0.783771271841864,-0.000228728158136127,TRUE
"Panel A: 1980-1989","FF3F SMB Beta","Treated Mean",0.558,0.55824489255163,0.000244892551630405,TRUE
"Panel A: 1980-1989","FF3F SMB Beta","Treated Std",0.604,0.603978249364118,-2.17506358823893e-05,TRUE
"Panel A: 1980-1989","FF3F SMB Beta","Random Control Mean",0.815,0.814688056454116,-0.000311943545883708,TRUE
"Panel A: 1980-1989","FF3F SMB Beta","Random Control Std",1.044,1.04428631896086,0.000286318960864618,TRUE
"Panel A: 1980-1989","FF3F HML Beta","Treated Mean",-0.148,-0.147583210333771,0.0004167896662291,TRUE
"Panel A: 1980-1989","FF3F HML Beta","Treated Std",0.987,0.987290555665224,0.000290555665223735,TRUE
"Panel A: 1980-1989","FF3F HML Beta","Random Control Mean",0.021,0.0211864905487041,0.0001864905487041,TRUE
"Panel A: 1980-1989","FF3F HML Beta","Random Control Std",1.188,1.1884846624613,0.000484662461302854,TRUE
"Panel B: 1990-1999","CAPM Beta","Treated Mean",1.025,1.02517168285152,0.000171682851524135,TRUE
"Panel B: 1990-1999","CAPM Beta","Treated Std",0.66,0.660208056513466,0.000208056513466115,TRUE
"Panel B: 1990-1999","CAPM Beta","Random Control Mean",0.651,0.650950787451714,-4.92125482859374e-05,TRUE
"Panel B: 1990-1999","CAPM Beta","Random Control Std",0.754,0.754343103527081,0.000343103527081334,TRUE
"Panel B: 1990-1999","FF3F Mkt Beta","Treated Mean",1.171,1.17073249659761,-0.000267503402387348,TRUE
"Panel B: 1990-1999","FF3F Mkt Beta","Treated Std",0.66,0.659737458961532,-0.000262541038468456,TRUE
"Panel B: 1990-1999","FF3F Mkt Beta","Random Control Mean",0.873,0.873436134403962,0.000436134403961619,TRUE
"Panel B: 1990-1999","FF3F Mkt Beta","Random Control Std",0.911,0.911368755503919,0.000368755503918905,TRUE
"Panel B: 1990-1999","FF3F SMB Beta","Treated Mean",0.489,0.489059284846201,5.92848462007134e-05,TRUE
"Panel B: 1990-1999","FF3F SMB Beta","Treated Std",0.661,0.660657008912,-0.000342991088000066,TRUE
"Panel B: 1990-1999","FF3F SMB Beta","Random Control Mean",0.805,0.804564877501403,-0.000435122498596674,TRUE
"Panel B: 1990-1999","FF3F SMB Beta","Random Control Std",1.215,1.21549887358523,0.000498873585234483,TRUE
"Panel B: 1990-1999","FF3F HML Beta","Treated Mean",-0.015,-0.0147771987062415,0.000222801293758495,TRUE
"Panel B: 1990-1999","FF3F HML Beta","Treated Std",1.242,1.24209749805372,9.74980537213899e-05,TRUE
"Panel B: 1990-1999","FF3F HML Beta","Random Control Mean",0.022,0.0219205703943721,-7.94296056279113e-05,TRUE
"Panel B: 1990-1999","FF3F HML Beta","Random Control Std",1.475,1.47478202489188,-0.000217975108117274,TRUE
"Panel B: 2000-2009","CAPM Beta","Treated Mean",1.087,1.08740504738397,0.000405047383967627,TRUE
"Panel B: 2000-2009","CAPM Beta","Treated Std",0.697,0.697291830717623,0.000291830717623509,TRUE
"Panel B: 2000-2009","CAPM Beta","Random Control Mean",0.824,0.823842099030677,-0.00015790096932311,TRUE
"Panel B: 2000-2009","CAPM Beta","Random Control Std",0.985,0.663073597452376,-0.321926402547624,FALSE
"Panel B: 2000-2009","FF3F Mkt Beta","Treated Mean",1.079,1.07888793394734,-0.000112066052662563,TRUE
"Panel B: 2000-2009","FF3F Mkt Beta","Treated Std",0.56,0.560053921493768,5.39214937678167e-05,TRUE
"Panel B: 2000-2009","FF3F Mkt Beta","Random Control Mean",0.82,0.820495148234676,0.000495148234675891,TRUE
"Panel B: 2000-2009","FF3F Mkt Beta","Random Control Std",0.688,0.687884880084916,-0.000115119915084172,TRUE
"Panel B: 2000-2009","FF3F SMB Beta","Treated Mean",0.271,0.270982803230497,-1.71967695027919e-05,TRUE
"Panel B: 2000-2009","FF3F SMB Beta","Treated Std",0.674,0.674438207723399,0.000438207723398865,TRUE
"Panel B: 2000-2009","FF3F SMB Beta","Random Control Mean",0.667,0.666510436815396,-0.000489563184604469,TRUE
"Panel B: 2000-2009","FF3F SMB Beta","Random Control Std",0.929,0.929091373335718,9.13733357181812e-05,TRUE
"Panel B: 2000-2009","FF3F HML Beta","Treated Mean",-0.002,-0.00168973490653983,0.000310265093460167,TRUE
"Panel B: 2000-2009","FF3F HML Beta","Treated Std",1.227,1.2274313093802,0.000431309380203304,TRUE
"Panel B: 2000-2009","FF3F HML Beta","Random Control Mean",0.075,0.075077685134355,7.76851343549656e-05,TRUE
"Panel B: 2000-2009","FF3F HML Beta","Random Control Std",1.482,1.48213339116596,0.000133391165961783,TRUE
"Panel D: 2010-2020","CAPM Beta","Treated Mean",1.06,1.05966522664891,-0.00033477335108878,TRUE
"Panel D: 2010-2020","CAPM Beta","Treated Std",0.388,0.388015614730663,1.56147306626386e-05,TRUE
"Panel D: 2010-2020","CAPM Beta","Random Control Mean",0.973,0.973488377090508,0.000488377090507752,TRUE
"Panel D: 2010-2020","CAPM Beta","Random Control Std",0.997,0.595059206498389,-0.401940793501611,FALSE
"Panel D: 2010-2020","FF3F Mkt Beta","Treated Mean",1.026,1.02575788810915,-0.000242111890848218,TRUE
"Panel D: 2010-2020","FF3F Mkt Beta","Treated Std",0.343,0.343072843480557,7.28434805568612e-05,TRUE
"Panel D: 2010-2020","FF3F Mkt Beta","Random Control Mean",0.872,0.871633049473396,-0.000366950526604182,TRUE
"Panel D: 2010-2020","FF3F Mkt Beta","Random Control Std",0.614,0.613641378784518,-0.000358621215481691,TRUE
"Panel D: 2010-2020","FF3F SMB Beta","Treated Mean",0.225,0.224839254415021,-0.00016074558497936,TRUE
"Panel D: 2010-2020","FF3F SMB Beta","Treated Std",0.52,0.519829804056445,-0.000170195943554607,TRUE
"Panel D: 2010-2020","FF3F SMB Beta","Random Control Mean",0.628,0.628459456135126,0.000459456135126324,TRUE
"Panel D: 2010-2020","FF3F SMB Beta","Random Control Std",1.201,1.20122338457261,0.000223384572606511,TRUE
"Panel D: 2010-2020","FF3F HML Beta","Treated Mean",-0.273,-0.272966109411537,3.38905884630369e-05,TRUE
"Panel D: 2010-2020","FF3F HML Beta","Treated Std",0.59,0.589919135712303,-8.08642876966026e-05,TRUE
"Panel D: 2010-2020","FF3F HML Beta","Random Control Mean",0.311,0.311195151631287,0.000195151631286916,TRUE
"Panel D: 2010-2020","FF3F HML Beta","Random Control Std",1.272,1.27210512809618,0.000105128096175688,TRUE
