"row","col","estimate","provisional"
"1980-1989","Diff-in-Means",3.2660682111392,""
"1980-1989","Market",3.25109574117768,""
"1980-1989","CAPM",3.15161674822574,""
"1980-1989","FF3F",3.05235934770116,""
"1980-1989","Gsynth",3.06307143078043,"feventr full run (published-vintage cohorts)"
"1990-1999","Diff-in-Means",4.6098465503044,""
"1990-1999","Market",4.66825405195113,""
"1990-1999","CAPM",4.68832747286467,""
"1990-1999","FF3F",4.71078161684074,""
"1990-1999","Gsynth",4.79140577728949,"feventr full run (published-vintage cohorts)"
"2000-2009","Diff-in-Means",3.42005803128601,""
"2000-2009","Market",3.43070040802477,""
"2000-2009","CAPM",3.33033088177302,""
"2000-2009","FF3F",3.22005133919278,""
"2000-2009","Gsynth",3.40697427674356,"feventr full run (published-vintage cohorts)"
"2010-2020","Diff-in-Means",1.14441621971866,""
"2010-2020","Market",0.939776143768095,""
"2010-2020","CAPM",0.85270033587548,""
"2010-2020","FF3F",0.849749937157259,""
"2010-2020","Gsynth",0.930929796715367,"feventr full run (published-vintage cohorts)"
