"row","col","estimate_pub","estimate_rep","provisional","diff","ok"
"1980-1989","Diff-in-Means",3.27,3.2660682111392,"",-0.00393178886079992,TRUE
"1980-1989","Market",3.25,3.25109574117768,"",0.00109574117767997,TRUE
"1980-1989","CAPM",3.15,3.15161674822574,"",0.00161674822573987,TRUE
"1980-1989","FF3F",3.05,3.05235934770116,"",0.00235934770116009,TRUE
"1980-1989","Gsynth",3.06,3.06307143078043,"feventr full run (published-vintage cohorts)",0.0030714307804276,TRUE
"1990-1999","Diff-in-Means",4.61,4.6098465503044,"",-0.000153449695599939,TRUE
"1990-1999","Market",4.62,4.66825405195113,"",0.0482540519511296,TRUE
"1990-1999","CAPM",4.69,4.68832747286467,"",-0.00167252713533017,TRUE
"1990-1999","FF3F",4.71,4.71078161684074,"",0.000781616840740185,TRUE
"1990-1999","Gsynth",4.79,4.79140577728949,"feventr full run (published-vintage cohorts)",0.00140577728948532,TRUE
"2000-2009","Diff-in-Means",3.42,3.42005803128601,"",5.80312860098964e-05,TRUE
"2000-2009","Market",3.43,3.43070040802477,"",0.000700408024769672,TRUE
"2000-2009","CAPM",3.33,3.33033088177302,"",0.000330881773019875,TRUE
"2000-2009","FF3F",3.22,3.22005133919278,"",5.13391927796647e-05,TRUE
"2000-2009","Gsynth",3.41,3.40697427674356,"feventr full run (published-vintage cohorts)",-0.0030257232564388,TRUE
"2010-2020","Diff-in-Means",1.14,1.14441621971866,"",0.00441621971866013,TRUE
"2010-2020","Market",0.94,0.939776143768095,"",-0.000223856231904906,TRUE
"2010-2020","CAPM",0.85,0.85270033587548,"",0.00270033587548002,TRUE
"2010-2020","FF3F",0.85,0.849749937157259,"",-0.000250062842740983,TRUE
"2010-2020","Gsynth",0.93,0.930929796715367,"feventr full run (published-vintage cohorts)",0.000929796715366527,TRUE
