"row","col","target_pct","estimate_pct","diff_pp","n_target","n","ok_estimate","ok_n"
"Market mean","Cash merger",1.1,1.09282584508115,-0.00717415491885443,9261,9261,TRUE,TRUE
"Market mean","Full sample",0.8,0.824736240439561,0.0247362404395606,14847,14847,TRUE,TRUE
"Market mean","Other targets",1.6,1.56499318851499,-0.0350068114850068,4520,4520,TRUE,TRUE
"Market mean","Private targets",1.3,1.27539832026988,-0.0246016797301154,7030,7030,TRUE,TRUE
"Market mean","Public targets",-1.2,-1.15103440757598,0.048965592424022,3297,3297,TRUE,TRUE
"Market mean","Stock merger",0.4,0.381072944313266,-0.0189270556867342,5592,5592,TRUE,TRUE
"Gsynth mean","Cash merger",1,0.957223267502616,-0.0427767324973842,9261,9261,TRUE,TRUE
"Gsynth mean","Full sample",0.7,0.657885635553093,-0.0421143644469066,14847,14847,TRUE,TRUE
"Gsynth mean","Other targets",1.5,1.4638111949723,-0.0361888050276964,4520,4520,TRUE,TRUE
"Gsynth mean","Private targets",1,1.04801748975044,0.0480174897504408,7030,7030,TRUE,TRUE
"Gsynth mean","Public targets",-1.3,-1.27884789904872,0.0211521009512765,3297,3297,TRUE,TRUE
"Gsynth mean","Stock merger",0.2,0.163415725942051,-0.0365842740579493,5592,5592,TRUE,TRUE
