row,col,target,target_stars,reproduced,stars,diff,ok
CAPM Beta,Winner Mean,1.148,"",1.14794730529318,"",-5.26947068200112e-05,TRUE
CAPM Beta,Winner Median,0.922,"",0.922453203070481,"",0.000453203070480579,TRUE
CAPM Beta,Loser Mean,1.114,"",1.11441104034806,"",0.000411040348061276,TRUE
CAPM Beta,Loser Median,0.968,"",0.96837449573848,"",0.00037449573848003,TRUE
CAPM Beta,Mean t-test Loser - Winner,-0.034,"",-0.0335362649451185,"",0.000463735054881481,TRUE
FF3F Mkt Beta,Winner Mean,1.157,"",1.1568989109475,"",-0.000101089052503278,TRUE
FF3F Mkt Beta,Winner Median,0.945,"",0.945313336248739,"",0.000313336248738527,TRUE
FF3F Mkt Beta,Loser Mean,1.172,"",1.17173010615872,"",-0.000269893841282842,TRUE
FF3F Mkt Beta,Loser Median,1.01,"",1.01015806573709,"",0.000158065737092539,TRUE
FF3F Mkt Beta,Mean t-test Loser - Winner,0.015,"",0.0148311952112203,"",-0.000168804788779661,TRUE
FF3F SMB Beta,Winner Mean,0.369,"",0.369483236235889,"",0.000483236235888751,TRUE
FF3F SMB Beta,Winner Median,0.291,"",0.291045536129695,"",4.55361296945456e-05,TRUE
FF3F SMB Beta,Loser Mean,0.232,"",0.231905179595277,"",-9.48204047231116e-05,TRUE
FF3F SMB Beta,Loser Median,0.168,"",0.16829022034047,"",0.000290220340469966,TRUE
FF3F SMB Beta,Mean t-test Loser - Winner,-0.138,"",-0.137578056640612,"",0.000421943359388166,TRUE
FF3F HML Beta,Winner Mean,-0.055,"",-0.0553320777061076,"",-0.000332077706107561,TRUE
FF3F HML Beta,Winner Median,-0.171,"",-0.171431896338145,"",-0.000431896338145471,TRUE
FF3F HML Beta,Loser Mean,0.313,"",0.312895949591989,"",-0.000104050408010758,TRUE
FF3F HML Beta,Loser Median,0.393,"",0.392604306653347,"",-0.00039569334665257,TRUE
FF3F HML Beta,Mean t-test Loser - Winner,0.368,*,0.368228027298097,*,0.000228027298096789,TRUE
